Depth,qc,fs,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
4.25,1.124,0.04,1.124,0.04,0.332,125.08862647587918,152.2818061445486,224.4236136878758,156.05098084259023,205.3049140241912,102.75223417627898,254.2058989352909,2.9044169590581905,218.0
4.26,1.107,0.04,1.107,0.04,0.341,124.85292107758669,151.99486044227945,223.37656263559464,155.7920730931315,205.49153726045063,102.59399186225706,254.32840946148104,2.9136628937647995,218.0
4.27,1.073,0.04,1.073,0.04,0.338,124.20999793206754,151.2121713955605,220.8923411949427,155.20974023038357,206.00922465954304,102.20075673743638,254.4205836705404,2.93402281160062,218.0
4.28,1.065,0.038,1.065,0.038,0.357,123.66851697233744,150.55297718371514,220.6323615001189,153.79798952352874,201.08630542498275,101.72309673330936,252.86532749051912,2.9237402465226805,218.0
4.29,1.048,0.037,1.048,0.037,0.369,123.1625681409325,149.93703947591786,219.5959472117003,152.85961913739368,198.7653374742621,101.32899098159018,252.10899894805297,2.92604531958866,218.0
4.3,1.039,0.036,1.039,0.036,0.392,122.8640301031432,149.5736018646961,219.3170725178671,152.0794861368069,196.24995834326447,101.0387116970179,251.34459753191211,2.922315569236634,218.0
4.31,1.022,0.034,1.022,0.034,0.416,122.10686878520202,148.65184026024596,218.44948077038583,150.43681923118717,191.24596232399375,100.38670121759364,249.60006873364011,2.915487859302932,218.0
4.32,1.014,0.033,1.014,0.033,0.423,121.74183837992574,148.20745541904003,218.00023833579124,149.58004174589007,188.68125047661965,100.08947866564408,248.76463292794529,2.9125630969300262,218.0
4.33,1.005,0.032,1.005,0.032,0.462,121.48329402004488,147.89270576353292,217.95913073644408,148.8000054956476,186.0029366459412,99.77019459687776,247.90010985678404,2.9062435067581025,218.0
4.34,0.997,0.031,0.997,0.031,0.493,121.2040935875304,147.55280958481964,217.87224502443684,147.99465985208232,183.30447835233215,99.4569395584878,247.0085699496687,2.90007263011819,218.0
4.35,0.997,0.029,0.997,0.029,0.504,120.7195202591406,146.962894228519,218.08894984107744,146.30372916277207,177.54777338326608,98.97123123480728,245.01892004384035,2.883951698304477,218.0
4.36,0.988,0.027,0.988,0.027,0.519,119.99735040034908,146.0837309221641,217.68232888285348,144.49413360761568,171.92316938439328,98.32031459083407,242.8780838481406,2.8709523139783366,218.0
4.37,0.997,0.025,0.997,0.025,0.538,119.63266674817062,145.63976821516425,218.7033016585337,142.87263533509184,165.8390588514689,97.88424288759812,240.61577919041025,2.8460916280350053,218.0
4.38,0.997,0.024,0.997,0.024,0.563,119.432878337901,145.39654754179253,219.13052155783035,142.0051237468055,162.75525227750362,97.61515800499132,239.48069561412044,2.8344478361767504,218.0
4.39,1.005,0.024,1.005,0.024,0.572,119.7011678503964,145.72316086135214,219.91746736150796,142.14046736864742,162.58067517183696,97.78954053387072,239.63307974714309,2.8297516812538817,218.0
4.4,1.014,0.023,1.014,0.023,0.595,119.66003874443336,145.67309064539714,220.98408265220812,141.36786607025238,159.34387343197145,97.63163064883484,238.46386688314848,2.8130587954724358,218.0
4.41,1.031,0.022,1.031,0.022,0.602,119.6943333499338,145.7148405999194,222.39816043442784,140.6325679198457,156.01420034033603,97.5668044876739,237.25522261485577,2.7935150602575765,218.0
