Depth,qc,fs_corrected,u
5.31,0.979,0.012,0.432
5.32,0.979,0.012,0.422
5.33,0.979,0.011,0.422
5.34,0.979,0.011,0.418
5.35,0.979,0.011,0.406
5.36,0.979,0.012,0.417
5.37,0.979,0.011,0.418
5.38,0.979,0.012,0.421
5.39,0.979,0.012,0.424
5.4,0.979,0.011,0.427
5.41,0.987,0.012,0.422
5.42,0.996,0.012,0.422
5.43,0.996,0.011,0.426
5.44,0.996,0.011,0.427
5.45,0.996,0.011,0.431
5.46,0.996,0.011,0.435
5.47,0.996,0.011,0.43
5.48,0.987,0.012,0.429
5.49,0.979,0.011,0.417
5.5,0.979,0.011,0.423
5.51,0.979,0.011,0.424
5.52,0.987,0.011,0.427
5.53,0.996,0.011,0.434
5.54,1.004,0.011,0.439
5.55,1.013,0.011,0.442
5.56,1.013,0.012,0.447
5.57,1.021,0.012,0.447
5.58,1.03,0.011,0.443
5.59,1.021,0.011,0.441
5.6,1.013,0.011,0.433
5.61,1.013,0.011,0.428
5.62,1.021,0.011,0.425
5.63,1.038,0.01,0.417
5.64,1.055,0.011,0.417
5.65,1.064,0.01,0.42
5.66,1.064,0.011,0.421
5.67,1.072,0.01,0.407
5.68,1.072,0.01,0.417
5.69,1.077,0.01,0.416
5.7,1.081,0.01,0.415
5.71,1.072,0.01,0.405
5.72,1.055,0.01,0.395
5.73,1.047,0.011,0.397
5.74,1.038,0.01,0.397
5.75,1.038,0.01,0.401
5.76,1.03,0.011,0.401
5.77,1.021,0.01,0.403
5.78,1.021,0.011,0.403
5.79,1.013,0.011,0.402
5.8,1.004,0.01,0.403
5.81,1.004,0.011,0.406
5.82,0.996,0.011,0.407
5.83,0.996,0.011,0.407
5.84,0.987,0.011,0.409
5.85,0.987,0.011,0.409
5.86,0.987,0.01,0.412
5.87,0.987,0.011,0.414
5.88,0.987,0.011,0.415
5.89,0.996,0.011,0.418
5.9,1.004,0.011,0.422
5.91,1.004,0.011,0.424
5.92,1.013,0.011,0.428
5.93,1.03,0.011,0.431
5.94,1.047,0.011,0.431
5.95,1.072,0.01,0.432
5.96,1.098,0.011,0.436
5.97,1.115,0.01,0.433
5.98,1.14,0.009,0.426
5.99,1.149,0.01,0.421
6.0,1.149,0.009,0.42
6.01,1.149,0.01,0.413
6.02,1.149,0.009,0.409
6.03,1.149,0.01,0.409
6.04,1.149,0.009,0.411
6.05,1.14,0.01,0.41
6.06,1.149,0.009,0.41
6.07,1.149,0.009,0.41
6.08,1.157,0.01,0.411
6.09,1.157,0.01,0.413
6.1,1.166,0.009,0.412
6.11,1.174,0.01,0.406
6.12,1.183,0.009,0.405
6.13,1.183,0.009,0.407
6.14,1.174,0.008,0.402
6.15,1.174,0.008,0.4
6.16,1.183,0.008,0.398
6.17,1.183,0.009,0.393
6.18,1.183,0.008,0.395
6.19,1.174,0.009,0.391
6.2,1.174,0.009,0.392
6.21,1.149,0.009,0.399
6.22,1.132,0.01,0.402
6.23,1.115,0.01,0.404
6.24,1.106,0.01,0.406
6.25,1.106,0.011,0.405
6.26,1.106,0.01,0.409
6.27,1.123,0.01,0.412
6.28,1.149,0.011,0.414
6.29,1.157,0.011,0.41
6.3,1.166,0.01,0.396
6.31,1.166,0.01,0.361
6.32,1.166,0.01,0.351
6.33,1.157,0.01,0.356
6.34,1.157,0.01,0.356
6.35,1.149,0.009,0.353
6.36,1.14,0.009,0.345
6.37,1.098,0.009,0.359
6.38,1.089,0.009,0.371
6.39,1.098,0.009,0.381
6.4,1.098,0.01,0.387
6.41,1.089,0.009,0.384
6.42,1.072,0.01,0.389
6.43,1.064,0.01,0.392
6.44,1.064,0.011,0.398
6.45,1.055,0.014,0.402
6.46,1.047,0.017,0.405
6.47,1.047,0.015,0.405
6.48,1.055,0.017,0.408
6.49,1.064,0.017,0.413
6.5,1.089,0.019,0.417
6.51,1.132,0.021,0.422
6.52,1.2,0.022,0.427
6.53,1.293,0.022,0.429
6.54,1.395,0.022,0.422
6.55,1.446,0.023,0.392
6.56,1.539,0.023,0.346
6.57,1.616,0.023,0.301
6.58,1.616,0.024,0.271
6.59,1.582,0.025,0.227
6.6,1.616,0.025,0.238
6.61,1.667,0.025,0.231
6.62,1.684,0.025,0.226
6.63,1.65,0.022,0.221
6.64,1.59,0.021,0.205
6.65,1.556,0.021,0.192
6.66,1.463,0.024,0.189
6.67,1.403,0.028,0.195
6.68,1.531,0.034,0.209
6.69,1.497,0.042,0.22
6.7,1.471,0.045,0.23
6.71,1.48,0.05,0.238
6.72,1.539,0.052,0.25
6.73,1.607,0.055,0.255
6.74,1.675,0.059,0.26
6.75,1.794,0.064,0.255
6.76,1.938,0.071,0.251
6.77,2.151,0.077,0.244
6.78,2.253,0.08,0.244
6.79,2.618,0.085,0.209
6.8,2.736,0.086,0.162
6.81,3.017,0.09,0.099
6.82,3.195,0.094,0.038
6.83,3.203,0.095,0.013
6.84,3.186,0.097,0.003
6.85,3.169,0.092,0.003
6.86,3.195,0.09,0.005
6.87,3.186,0.088,0.007
6.88,3.186,0.087,0.006
6.89,3.203,0.086,0.002
6.9,3.169,0.086,-0.001
6.91,3.127,0.084,-0.005
6.92,3.127,0.081,-0.006
6.93,3.152,0.079,-0.006
6.94,3.11,0.077,-0.006
6.95,3.051,0.073,-0.007
6.96,3.059,0.067,-0.007
6.97,3.076,0.062,-0.009
6.98,3.085,0.054,-0.012
6.99,3.093,0.051,-0.014
7.0,3.008,0.046,-0.016
7.01,2.923,0.044,-0.016
7.02,2.855,0.042,-0.018
7.03,2.787,0.04,-0.02
7.04,2.77,0.037,-0.022
7.05,2.77,0.035,-0.024
7.06,2.677,0.036,-0.027
7.07,2.448,0.036,-0.029
7.08,2.337,0.036,-0.031
7.09,2.091,0.038,-0.033
7.1,1.896,0.039,-0.033
7.11,1.701,0.043,-0.033
7.12,1.531,0.047,-0.03
7.13,1.37,0.049,-0.026
7.14,1.251,0.049,-0.023
7.15,1.285,0.048,-0.023
