File Name,Start Depth,End Depth,Depth,Measured Vs,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
SDMT_156438.csv,4.5,5.0,4.75,157.0,3.094537507864544,0.006610363151751732,129.4769867258919,157.62415775325974,326.5430659698547,136.39523054203093,101.35254188241024,105.55531319754925,208.38015726353905,1.9664520598547799
SDMT_156438.csv,5.0,5.5,5.25,148.0,2.6441264967203955,0.01198590247469081,135.4443746226165,164.88880388840275,310.3484891212474,146.87007281344003,130.57620346829603,111.48069138363509,230.6565719717523,2.1835031939423253
SDMT_156438.csv,5.5,6.0,5.75,144.0,2.1742716177068107,0.006108728294552053,125.04829009217411,152.2327009817774,290.37496309964615,128.2157920390016,96.38296257186168,105.11614977203843,215.92114633258495,2.152492351081625
SDMT_156438.csv,6.0,6.5,6.25,136.0,1.936864177733286,0.006009825095793703,124.34744561495596,151.3794990095115,280.1294552605511,126.17147570747909,95.99930953783918,105.66506009917306,219.87542191513046,2.2237856596661847
SDMT_156438.csv,6.5,7.0,6.75,104.0,0.5771519156151226,0.0016966643624846632,96.01566935706283,116.88864095642447,176.83868856568105,93.54467105245365,71.20796332092404,81.64496468941255,188.51592822172506,2.816323176947859
SDMT_156438.csv,7.0,7.5,7.25,140.0,0.676908216932886,0.0026426549179643577,101.83676176804111,123.97518823935432,189.58661149423918,99.60890539504,78.4336824155108,88.41179005998507,203.58175016971546,2.7713999222696994
SDMT_156438.csv,7.5,8.0,7.75,131.0,1.0148551533017505,0.0031298838523226204,111.8467934515749,136.16131376713471,223.27233835702063,108.4745329265429,82.63269508063138,96.82685846119605,212.28981333770767,2.5475830215822124
SDMT_156438.csv,8.0,8.5,8.25,139.0,0.4139599841182019,0.002718132812397108,96.27751763420089,117.20741277207061,158.9425538515804,90.9544034286327,79.06603787074785,85.58286057734902,210.35838957569908,3.172834949830068
SDMT_156438.csv,8.5,9.0,8.75,154.0,0.7506492270831484,0.007637927280873433,115.03734830511956,140.04546750188447,201.66298584103063,115.06058052024353,111.40951319827627,103.18531986978991,245.1112749701427,2.9405222463610707
SDMT_156438.csv,9.5,10.0,9.75,199.0,2.6094631172590015,0.0016660845176538304,142.97940194102975,174.0618806238622,330.2581268555395,134.3875040006909,98.01954115434302,112.90622744848727,209.9047366405778,2.1267097501669348
SDMT_156438.csv,10.0,10.5,10.25,214.0,9.375339119011695,0.021648027439925784,183.81786133151323,223.77826596879862,538.5866763809997,184.1413191037884,139.67404432545058,169.25208073943747,297.8553919535104,1.6078242241297547
SDMT_156438.csv,10.5,11.0,10.75,254.0,8.48771249664852,0.02847609382115371,188.1493351561567,229.05136453792994,520.7431186249406,186.8144773017291,149.957905932702,172.9617405070533,312.17676331091775,1.711703573752188
SDMT_156438.csv,11.0,11.5,11.25,224.0,7.883506927141295,0.020165031765402405,182.55872566905353,222.2454051623257,508.5661384942489,178.51588701912462,134.8890564772182,168.41622185407584,301.77067336978604,1.699209559364649
SDMT_156438.csv,11.5,12.0,11.75,228.0,17.47755841538278,0.09537654056256877,234.23426898797157,285.15476224622637,692.508293253905,246.24854510046947,237.44237163504167,217.48971694002995,375.6176887270512,1.5720761905829337
SDMT_156438.csv,12.0,12.5,12.25,341.0,13.844659902166919,0.09193966025272118,231.67439872282176,282.0383984451744,636.1409383723619,238.2621113415885,235.95893748048982,212.11792564087938,377.14344442097257,1.7085059845802997
SDMT_156438.csv,12.5,13.0,12.75,258.0,13.811848667741815,0.0750346199081802,226.9546601846602,276.292629790021,638.0834964059209,231.44773542252733,215.5209143719644,210.83249054639393,371.0441368892778,1.663034988107604
SDMT_156438.csv,13.0,13.5,13.25,299.0,12.383152295493932,0.08130433254595103,230.48440446227386,280.5897097801593,614.3746328439593,231.9074747716977,225.1867847491548,211.1777862047766,378.29805654911354,1.7640005019030978
SDMT_156438.csv,13.5,14.0,13.75,336.0,13.305205252929673,0.09269692280217197,237.992746809378,289.73030046359065,633.8191799429512,239.7599135138574,238.0881067797242,217.94200186602063,388.6338010461851,1.7621372531372232
SDMT_156438.csv,14.0,14.5,14.25,345.0,15.628199972863687,0.12337457641536882,252.85615890191025,307.82488909797786,676.4302175221917,257.43489372960244,269.78799048191263,230.68768480772053,407.4975308053913,1.7477586143663355
SDMT_156438.csv,14.5,15.0,14.75,382.0,16.965706907084382,0.17718596670313924,270.9431629192982,329.84385051045035,700.4092424693646,277.9814925312884,321.9686485893486,242.86967086716987,431.1379632058854,1.8108092466596588
SDMT_156438.csv,15.0,15.5,15.25,299.0,16.494811796577824,0.15285879556053705,266.59777157380904,324.55380887246326,695.2390593519592,270.4925588884641,299.08810456397885,241.165936072007,426.4343676791492,1.7925786242527382
SDMT_156438.csv,15.5,16.0,15.75,353.0,19.01970379782617,0.1882383926557802,280.21001567934974,341.1252364792079,736.4893438257535,286.6617254664045,329.27690086019487,252.71122524892812,442.1915189824281,1.772058082856648
SDMT_156438.csv,16.0,16.5,16.25,347.0,20.717047483731395,0.22423509635312927,292.0787879878207,355.5741766808257,763.3274072342208,299.8532324089439,358.2872990068295,261.85010340714257,456.2467674022401,1.7794523478594797
SDMT_156438.csv,16.5,17.0,16.75,326.0,19.580287379118992,0.21188313736688275,290.5594894126295,353.7245958066798,749.342245854077,294.9692867075838,348.31561640021135,260.70019566459956,456.195094204198,1.8054928226910296
