File Name,File Key,Layer,Start Depth,End Depth,Depth,Measured Vs,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean),Depth_vs,Subset_Region,Subset_Geology
SCPT_126232_Raw01_result_layers_stats.csv,126232,6,12.58,13.57,13.075,159.2,13,0.99,6.597457606,0.024703821,0.022001664,188.6671387,229.6817341,482.5811447,179.8081229,146.1764557,174.0799819,321.451487,1.788929408,13,6,1
SCPT_126232_Raw01_result_layers_stats.csv,126232,7,13.58,14.57,14.075,134.9,14,0.99,3.145623274,0.014892249,0.015725422,167.7611671,204.230986,366.2048947,152.8285791,126.8027481,153.1392617,304.9733937,2.148042059,14,6,1
SCPT_126232_Raw01_result_layers_stats.csv,126232,8,14.58,18.44,16.51,207.4,17,3.86,0.570711575,0.002928703,0.230184293,125.059642,152.2465206,199.7554742,95.52335509,79.57212112,109.3281553,253.6661168,3.09529621,17,6,1
SCPT_126232_Raw01_result_layers_stats.csv,126232,9,18.45,20.37,19.41,217.6,19,1.92,1.049252243,0.009673813,0.18533351,150.8275694,183.6161714,252.3813534,121.4382464,113.4350823,137.9273724,310.2180963,2.91612343,19,6,1
SCPT_126232_Raw01_result_layers_stats.csv,126232,10,20.38,21.37,20.875,209.3,21,0.99,1.615867852,0.015942855,0.189606067,169.0411338,205.7892064,298.1485197,138.4171832,131.377646,156.1298228,338.2910776,2.734424817,21,6,1
SCPT_126232_Raw01_result_layers_stats.csv,126232,11,21.38,25.98,23.68,219.6,24,4.6,1.118475271,0.006992329,0.463740157,159.9986607,194.7809782,267.5923978,118.299385,101.9037362,143.1563277,312.798742,2.908483282,24,6,1
SCPT_126232_Raw01_result_layers_stats.csv,126232,12,25.99,26.98,26.485,265.7,25,0.99,4.0347112,0.103933104,0.2265528,242.7899515,295.5703757,433.2493648,208.4150609,272.0614537,222.3474801,461.5653957,2.669781044,25,6,1
SCPT_126232_Raw01_result_layers_stats.csv,126232,13,26.99,28.51,27.75,265.7,25,1.52,7.008892788,0.111845197,0.599686538,266.2593954,324.1418726,535.9833988,227.3969293,261.6786247,245.3795656,473.4448874,2.315700432,25,6,1
SCPT_126232_Raw01_result_layers_stats.csv,126232,14,28.52,30,29.26,265.7,25,1.48,8.721028172,0.124211333,0.582219258,281.0558968,342.1550048,585.31439,239.122001,270.5833748,259.2305412,487.2102823,2.223500155,25,6,1
SCPT_128450_Raw01_result_layers_stats.csv,128450,1,6.08,7.42,6.75,199.1,7,1.34,2.127835629,0.00211649,0.00043891,121.5255377,147.9441329,293.2678993,118.8006387,80.62414414,100.3255816,195.8604717,1.945415257,7,6,1
SCPT_128450_Raw01_result_layers_stats.csv,128450,2,7.43,8.42,7.925,183.1,8,0.99,8.036542124,0.01590622,0.001449319,167.7866798,204.262045,495.0674723,171.9851572,128.3734949,150.2171313,267.814951,1.524205786,8,6,1
SCPT_128450_Raw01_result_layers_stats.csv,128450,3,8.43,12.27,10.35,177.1,10,3.84,2.354868871,0.00477709,0.011196604,142.5799245,173.5755603,319.7478828,126.279627,94.44349724,124.2724044,245.6751731,2.093912965,10,6,1
SCPT_128450_Raw01_result_layers_stats.csv,128450,4,12.28,13.35,12.815,211.2,13,1.07,6.657699479,0.013843729,0.029289222,178.354339,217.1270214,483.3339166,168.5733843,122.3851696,165.2001892,296.6439756,1.674650141,13,6,1
SCPT_128450_Raw01_result_layers_stats.csv,128450,5,13.36,14.41,13.885,243.9,14,1.05,2.691698367,0.01531371,0.009845224,163.9574994,199.600434,344.5048804,149.9957629,129.4425726,149.520839,304.6771067,2.242943037,14,6,1
SCPT_128450_Raw01_result_layers_stats.csv,128450,6,14.42,15.59,15.005,221.1,15,1.17,1.40596474,0.018905859,0.49037346,155.5646052,189.3829977,278.5312937,141.5733803,144.3470875,141.5944164,317.8130185,2.696387028,15,6,1
SCPT_128450_Raw01_result_layers_stats.csv,128450,7,15.6,16.6,16.1,238.9,16,1,2.413534409,0.028471483,0.218129612,176.3647841,214.7049546,339.3586002,160.4507343,162.4615806,161.4781465,342.5891692,2.477321843,16,6,1
SCPT_128450_Raw01_result_layers_stats.csv,128450,8,16.61,17.6,17.105,270.4,17,0.99,8.52901756,0.046118004,0.022277285,218.2555,265.7023478,546.7005974,205.1422834,183.0794117,205.0026859,373.8660779,1.825570929,17,6,1
SCPT_128450_Raw01_result_layers_stats.csv,128450,9,17.61,18.95,18.28,244.2,18,1.34,5.99472731,0.021039284,0.040005346,199.7330784,243.1533128,481.0912374,177.8328689,140.9100795,185.9645337,342.4240595,1.910610685,18,6,1
SCPT_128450_Raw01_result_layers_stats.csv,128450,10,18.96,20.17,19.565,279.7,20,1.21,7.599407237,0.018121335,0.027441746,206.7320846,251.6738422,530.1758828,184.8414401,139.423143,193.6830978,342.2700102,1.776120531,20,6,1
SCPT_128450_Raw01_result_layers_stats.csv,128450,11,20.18,21.43,20.805,338.2,21,1.25,5.505904739,0.066993303,0.135740159,228.4366626,278.0968067,473.7839645,203.6399501,215.2468423,209.6476176,411.0603677,2.257038183,21,6,1
SCPT_128450_Raw01_result_layers_stats.csv,128450,12,21.44,22.81,22.125,301.5,22,1.37,10.57629992,0.030859917,0.024743001,229.6233056,279.5414155,608.7399093,207.3162861,162.7734299,219.6846058,379.3139355,1.704740262,22,6,1
SCPT_128450_Raw01_result_layers_stats.csv,128450,13,22.82,23.81,23.315,292.9,23,0.99,5.074590409,0.253673891,,267.3748501,325.4998176,461.6789415,247.4920311,400.7616278,238.8602305,502.7347571,2.77626806,23,6,1
SCPT_128450_Raw01_result_layers_stats.csv,128450,14,23.82,25.52,24.67,292.9,23,1.7,8.804164926,0.070831281,,254.9111841,310.326659,573.4465121,223.7864711,222.4227309,236.2764561,433.7869692,2.048546846,23,6,1
SCPT_128450_Raw01_result_layers_stats.csv,128450,15,25.53,26.52,26.025,292.9,23,0.99,20.2283285,0.049532938,,257.9974851,314.0838948,792.3450104,246.5139074,189.588825,262.4360361,422.325386,1.435447227,23,6,1
SCPT_128450_Raw01_result_layers_stats.csv,128450,16,26.53,27.75,27.14,292.9,23,1.22,14.84185892,0.039216197,0.004852936,253.1529924,308.1862517,706.9194944,228.1081847,175.304842,249.059422,413.1170958,1.59907275,23,6,1
SCPT_128450_Raw01_result_layers_stats.csv,128450,17,27.76,29,28.38,292.9,23,1.24,9.622844385,0.035435124,0.011709698,249.0671833,303.2122231,601.7922545,208.1660769,167.992053,234.9331081,411.0227564,1.88385665,23,6,1
SCPT_136515_Raw01_result_layers_stats.csv,136515,1,0.03,1.02,0.525,149,1,0.99,4.534231509,0.023830676,,104.9753706,127.7961034,297.0202666,99.90267767,88.57118785,62.96980399,133.1989511,1.843195145,1,6,1
SCPT_136515_Raw01_result_layers_stats.csv,136515,2,1.03,2.19,1.61,212.9,2,1.16,8.982051353,0.052158842,,144.4754418,175.8831466,440.1674738,172.3857399,165.636279,107.4906939,207.8138384,1.620941589,2,6,1
SCPT_136515_Raw01_result_layers_stats.csv,136515,3,2.2,3.65,2.925,229.9,3,1.45,5.399052389,0.03739587,0.003083232,144.5541154,175.9789231,384.939954,170.3732467,163.9968866,115.1122325,231.3200482,1.848139977,3,6,1
SCPT_136515_Raw01_result_layers_stats.csv,136515,4,3.66,5.13,4.395,196.3,4,1.47,9.001120687,0.062612967,0.010623064,175.220561,213.3119873,487.4957275,199.8797065,199.1766741,145.0530569,275.6340676,1.711291924,4,6,1
