File Name,,Depth,qc,fs,Qc,Fs,u,Subset_Region,Subset_Geology,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_140250_Raw01_result.csv,140250,0.6,1.4416,0.0386,1.4416,0.0386,-0.001,7,2,97.63199464,118.8563413,198.9010899,104.4832196,132.6594026,61.61752704,154.4769986,2.658651534,82.5,-0.16840696,-0.365117255,-0.880009372,-0.236228187,-0.474986668,0.291851933,-0.627246915
SCPT_140250_Raw01_result.csv,140250,0.61,1.2914,0.0344,1.2914,0.0344,-0.0009,7,2,94.85467191,115.4752528,191.0267802,101.5875554,127.3127805,60.34851954,152.6942387,2.695495517,82.5,-0.139547658,-0.336257952,-0.839615335,-0.208122748,-0.433848604,0.312661877,-0.615639189
SCPT_140250_Raw01_result.csv,140250,0.62,1.2508,0.0339,1.2508,0.0339,-0.0009,7,2,94.35655888,114.8688543,189.01367,101.3683664,127.3004031,60.27043712,152.9959744,2.711318502,82.5,-0.134282493,-0.330992787,-0.829021047,-0.205962781,-0.433751379,0.313956573,-0.617613317
SCPT_140250_Raw01_result.csv,140250,0.63,1.2183,0.0318,1.2183,0.0318,-0.0009,7,2,93.54587594,113.8819359,187.4186912,100.3762753,124.2921478,59.9907868,152.3151216,2.710687441,82.5,-0.125653674,-0.322363969,-0.820546811,-0.196127584,-0.409836532,0.318607296,-0.61315325
SCPT_140250_Raw01_result.csv,140250,0.64,1.2102,0.0305,1.2102,0.0305,-0.0008,7,2,93.26992135,113.5459912,187.2344513,99.98893181,122.4305293,59.98797086,152.0881618,2.703925246,82.5,-0.122699376,-0.31940967,-0.819563288,-0.192261205,-0.394745468,0.318654237,-0.611662071
SCPT_140250_Raw01_result.csv,140250,0.65,1.1817,0.0298,1.1817,0.0298,-0.0007,7,2,92.84450684,113.0280953,185.8235983,99.70583635,121.8256585,59.92509456,152.1988961,2.712579308,82.5,-0.118127831,-0.314838125,-0.811999534,-0.189425921,-0.3897927,0.319702935,-0.612389899
SCPT_140250_Raw01_result.csv,140250,0.66,1.1533,0.0283,1.1533,0.0283,-0.0006,7,2,92.1814744,112.2209254,184.3842232,98.949154,119.6400399,59.71301519,151.7382184,2.714196382,82.5,-0.110960889,-0.307671183,-0.804223457,-0.181807829,-0.371689274,0.323248287,-0.609358496
SCPT_140250_Raw01_result.csv,140250,0.67,1.0681,0.0296,1.0681,0.0296,-0.0004,7,2,91.36776172,111.2303186,179.32577,99.15723066,123.4237124,59.52562252,153.1215551,2.77307569,82.5,-0.102094406,-0.298804701,-0.776405803,-0.183908485,-0.402824958,0.326391443,-0.61843379
SCPT_140250_Raw01_result.csv,140250,0.68,1.0437,0.0276,1.0437,0.0276,-0.0006,7,2,90.58790233,110.2809246,178.0080013,98.10841375,120.1536125,59.22780706,152.2790473,2.769229227,82.5,-0.093522382,-0.290232677,-0.769030207,-0.173274837,-0.375972735,0.331407148,-0.612916382
SCPT_140250_Raw01_result.csv,140250,0.69,1.0397,0.0271,1.0397,0.0271,-0.0006,7,2,90.54710174,110.2312543,178.0041361,98.11600771,119.6082497,59.3456758,152.4753724,2.766971553,82.5,-0.093071883,-0.289782177,-0.769008493,-0.173352237,-0.371423523,0.329419034,-0.614204797
SCPT_140250_Raw01_result.csv,140250,0.7,1.0397,0.0259,1.0397,0.0259,-0.0006,7,2,90.36425702,110.0086607,178.257881,97.73348725,117.5603296,59.35997603,152.1330767,2.755449638,82.5,-0.091050509,-0.287760803,-0.770432978,-0.169445963,-0.354153352,0.329178098,-0.611957349
SCPT_140250_Raw01_result.csv,140250,0.71,1.0398,0.0257,1.0398,0.0257,-0.0006,7,2,90.46864781,110.1357452,178.5149398,97.94486416,117.5475358,59.55700725,152.5263411,2.753509623,82.5,-0.092205064,-0.288915359,-0.771874001,-0.171606416,-0.354044518,0.325864334,-0.614539016
SCPT_140250_Raw01_result.csv,140250,0.72,1.0407,0.0256,1.0407,0.0256,-0.0007,7,2,90.61349535,110.3120813,178.820139,98.22198244,117.7287355,59.77712917,152.9904358,2.752093788,82.5,-0.093804864,-0.290515158,-0.773582197,-0.174431751,-0.355584833,0.322175161,-0.617577115
SCPT_140250_Raw01_result.csv,140250,0.73,1.0559,0.0257,1.0559,0.0257,-0.0007,7,2,91.05372886,110.8480177,180.0592029,98.77791965,118.1885576,60.15167275,153.619573,2.744283258,82.5,-0.098651466,-0.29536176,-0.780487408,-0.180075801,-0.359483001,0.315929042,-0.621680948
SCPT_140250_Raw01_result.csv,140250,0.74,1.0884,0.0258,1.0884,0.0258,-0.0008,7,2,91.76830569,111.7179374,182.4010533,99.51705599,118.4866514,60.66332707,154.2617229,2.726769389,82.5,-0.106468691,-0.303178985,-0.793409559,-0.187530753,-0.362002014,0.307458945,-0.625852366
SCPT_140250_Raw01_result.csv,140250,0.75,1.1006,0.0261,1.1006,0.0261,-0.0008,7,2,92.20949375,112.2550359,183.4230776,100.1568474,119.389453,61.0464854,155.032082,2.722969138,82.5,-0.111264801,-0.307975095,-0.798997091,-0.193939137,-0.36959257,0.301162664,-0.630833783
SCPT_140250_Raw01_result.csv,140250,0.76,1.1371,0.0265,1.1371,0.0265,-0.0008,7,2,93.05604099,113.2856151,185.9673951,101.1111248,120.2773031,61.63798264,155.8979728,2.706916214,82.5,-0.12040361,-0.317113904,-0.81277307,-0.203421864,-0.377001643,0.291520012,-0.636403479
SCPT_140250_Raw01_result.csv,140250,0.77,1.1777,0.0264,1.1777,0.0264,-0.0008,7,2,93.79409023,114.1841098,188.720799,101.7869613,120.0976953,62.15618688,156.3781518,2.684510327,82.5,-0.128303557,-0.325013851,-0.827470376,-0.210083721,-0.375507245,0.283147933,-0.639478831
SCPT_140250_Raw01_result.csv,140250,0.78,1.2264,0.027,1.2264,0.027,-0.0008,7,2,94.84253031,115.4604717,191.9100123,102.9651471,121.3023119,62.86173209,157.3956977,2.665470974,82.5,-0.139419647,-0.336129942,-0.844228283,-0.22159226,-0.385487582,0.271860708,-0.645964709
SCPT_140250_Raw01_result.csv,140250,0.79,1.3482,0.0277,1.3482,0.0277,-0.0008,7,2,96.8757469,117.9356919,199.2305255,104.8698919,122.1315214,64.08680161,158.5411344,2.614025595,82.5,-0.160630904,-0.357341199,-0.881664281,-0.239922163,-0.392300215,0.252559854,-0.65321579
SCPT_140250_Raw01_result.csv,140250,0.8,1.405,0.0281,1.405,0.0281,-0.0007,7,2,97.88006453,119.1583394,202.649675,105.9472102,122.8853746,64.77163422,159.3918636,2.592464313,82.5,-0.170944605,-0.367654899,-0.898680456,-0.25014266,-0.398453714,0.241930529,-0.658567428
SCPT_140250_Raw01_result.csv,140250,0.81,1.4334,0.0281,1.4334,0.0281,-0.0008,7,2,98.38501119,119.7730571,204.4551822,106.518173,123.054104,65.18327673,159.9172841,2.580283861,82.5,-0.176090174,-0.372800468,-0.9075505,-0.255517316,-0.399825835,0.235595349,-0.661858414
SCPT_140250_Raw01_result.csv,140250,0.82,1.4537,0.0283,1.4537,0.0283,-0.0008,7,2,98.84791424,120.3365912,205.8064332,107.1369979,123.6799476,65.57717714,160.5791705,2.573550835,82.5,-0.180784156,-0.37749445,-0.914137789,-0.261310076,-0.404898868,0.229570567,-0.665988802
SCPT_140250_Raw01_result.csv,140250,0.83,1.4781,0.0294,1.4781,0.0294,-0.0008,7,2,99.63699333,121.2972093,207.3680675,108.3334563,126.0570248,66.16551707,161.8927775,2.57319074,82.5,-0.188735221,-0.385445516,-0.921697025,-0.272415735,-0.423936089,0.220638856,-0.674135955
SCPT_140250_Raw01_result.csv,140250,0.84,1.5146,0.0301,1.5146,0.0301,-0.0008,7,2,100.4359385,122.2698382,209.5579636,109.3813064,127.5413112,66.75001826,162.9109454,2.564360486,82.5,-0.196721803,-0.393432098,-0.932202084,-0.282041709,-0.435642028,0.211843723,-0.680405411
SCPT_140250_Raw01_result.csv,140250,0.85,1.5755,0.032,1.5755,0.032,-0.0008,7,2,101.8619467,124.0058481,212.9872721,111.3182046,131.1467155,67.69428153,164.7529262,2.556101265,82.5,-0.210820139,-0.407530433,-0.948434115,-0.299594515,-0.463518369,0.197796585,-0.691648642
SCPT_140250_Raw01_result.csv,140250,0.86,1.608,0.0321,1.608,0.0321,-0.0008,7,2,102.4083103,124.6709864,214.9038941,111.9633599,131.4878409,68.13237068,165.3331859,2.544449015,82.5,-0.216169571,-0.412879865,-0.957392631,-0.30537338,-0.466116089,0.191345853,-0.695164453
SCPT_140250_Raw01_result.csv,140250,0.87,1.6283,0.0333,1.6283,0.0333,-0.0008,7,2,103.1364858,125.557461,216.1836378,113.1325153,133.9973098,68.68419357,166.625978,2.546391375,82.5,-0.223254923,-0.419965217,-0.963329928,-0.31576154,-0.485021431,0.1832792,-0.702953354
