Depth,qc,fs,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
12.49,2.753,0.0295,2.753,0.0295,0.0457,170.23615887380444,207.24401949854456,344.37485668374967,163.1102743848092,162.18389654091345,153.81174619325904,323.0884853653561,2.4426243182480376,149.0
12.5,2.683,0.0294,2.683,0.0294,0.0455,169.55019553386174,206.4089336933969,341.0391488182923,162.47032487397556,162.2409443339933,153.23324967109082,322.94973657458564,2.4587736102182287,128.0
12.51,2.622,0.0321,2.622,0.0321,0.0454,170.25731072296085,207.26976957577844,338.0916191398159,164.0469403967245,168.46530443975394,153.8786543406484,326.67010405294286,2.4944019852767183,128.0
12.52,2.549,0.0348,2.549,0.0348,0.0454,170.7227152645283,207.83634901768664,334.5029324880498,165.39822064382943,174.6247860667956,154.31926991491892,330.11563131647665,2.532285950449754,128.0
12.53,2.506,0.0359,2.506,0.0359,0.0454,170.75513433415762,207.8758157111484,332.369640816125,165.79864996493794,177.17257040828093,154.3740626410573,331.4790721870826,2.5512047425901248,128.0
12.54,2.433,0.0364,2.433,0.0364,0.0455,170.18723743227716,207.1844629610331,328.6771641877,165.4966224246865,178.62225152179468,153.92898890427267,332.0700164064822,2.5742559920237182,128.0
12.55,2.399,0.0365,2.399,0.0365,0.0459,169.87732428082438,206.80717738535145,326.9509732894816,165.25728483938252,179.01960051140207,153.68640162194103,332.22087233616395,2.584451951260571,128.0
12.56,2.341,0.0366,2.341,0.0366,0.0463,169.2816172927365,206.08196887811405,323.9492049344201,164.79019724773724,179.5633292715984,153.21443232659428,332.34583900182434,2.601531830654897,128.0
12.57,2.322,0.0366,2.322,0.0366,0.0469,169.09311047503658,205.85248231743583,322.97756718649015,164.61210406848087,179.66870211169538,153.06860326002044,332.3927190625324,2.607170819635296,128.0
12.58,2.264,0.0366,2.264,0.0366,0.0475,168.43398884449792,205.0500733759105,319.9149568155335,164.05934212654773,180.0154255280199,152.5457723675567,332.3973740902344,2.6241758200503456,128.0
12.59,2.218,0.0386,2.218,0.0386,0.0477,168.66477166597835,205.3310263759737,317.45320467653164,164.94915413881367,184.51193405757564,152.80240306909533,334.72082258573704,2.6511878382697427,128.0
12.6,2.087,0.0389,2.087,0.0389,0.0471,167.11538423322068,203.44481558826865,310.20405300627914,163.81073565777186,186.04222546578688,151.59954021423624,334.9742455284451,2.6940910180710467,128.0
12.61,2.018,0.0389,2.018,0.0389,0.0457,166.20921696738228,202.34165543855235,306.2713204031995,163.07123828560276,186.5450194657724,150.9006398578086,334.95814061760285,2.7170491379579897,128.0
12.62,1.938,0.0384,1.938,0.0384,0.0457,164.93864970788465,200.7948779052509,301.6192173573254,161.86092304658695,186.09252156837337,149.8962467073349,334.3622578923375,2.74139654850287,128.0
12.63,1.811,0.0378,1.811,0.0378,0.0457,162.8789217632914,198.28738301618085,293.9684048856918,159.99234883797817,185.8334631324537,148.2791305026102,333.5779486246411,2.783754676166796,128.0
12.64,1.804,0.0349,1.804,0.0349,0.0457,161.74881454657964,196.9116003175752,293.5589082168391,157.94988280073744,179.5083364600356,147.2502635572668,330.1909919587601,2.766901233628951,128.0
12.65,1.811,0.0327,1.811,0.0327,0.0461,161.0370524636126,196.04510734700668,294.01914812212385,156.4753959190631,174.4762375308651,146.57054726337674,327.48277569025777,2.748615694425752,128.0
12.66,1.818,0.0274,1.818,0.0274,0.0461,158.91180726627027,193.4578523241551,294.4737106070245,152.50473972547397,161.91488774897942,144.5470419118771,320.1135449509132,2.7040756018573893,128.0
12.67,1.834,0.0251,1.834,0.0251,0.0463,158.07902904569357,192.4440353599748,295.4817352968809,150.77309384111672,156.11068071833722,143.7117058748947,316.5694325975641,2.678094574869933,128.0
12.68,1.83,0.0246,1.83,0.0246,0.0577,157.8358976618754,192.14804932750053,295.39243671090225,150.31923736068376,154.85249641170046,143.45825581034646,315.80036566639023,2.6744448092109248,128.0
12.69,1.688,0.0241,1.688,0.0241,0.0692,155.5712502205517,189.39108722501945,286.6352080282429,148.20877626727938,154.41294747660294,141.58889753098,314.83305051533785,2.723717865698072,128.0
12.7,1.653,0.0242,1.653,0.0242,0.069,155.11322054733537,188.83348588371263,284.38764377760793,147.85422404124014,154.891923025039,141.2417935301019,315.01650837967577,2.739215431130351,128.0
12.71,1.542,0.0237,1.542,0.0237,0.0691,153.12130757557375,186.4085483528724,277.0183475444957,145.95993074661328,154.33380841551295,139.62350905046472,314.06366110775537,2.782217943132392,128.0
12.72,1.48,0.0209,1.48,0.0209,0.0692,150.6893645689047,183.44792208388395,272.76890963453013,142.5407737988331,147.1545408624708,137.38998265950923,308.9398621730046,2.782089584203503,128.0
12.73,1.43,0.0204,1.43,0.0204,0.0693,149.59623002571064,182.1171495965173,269.2652452182894,141.34729523812186,146.08108853445935,136.4670528227452,307.9518021702368,2.800669057447978,128.0
12.74,1.406,0.0204,1.406,0.0204,0.0705,149.20988646545354,181.64681830576956,267.5830349378453,140.99761559205402,146.24003382086386,136.16456847908614,307.9744113709773,2.812601486013289,128.0
12.75,1.401,0.0203,1.401,0.0203,0.0715,149.10111600261567,181.5144020901408,267.2570418968713,140.8269638863699,145.98347320040716,136.0689135034439,307.8307208242459,2.8141880348528026,128.0
12.76,1.396,0.02,1.396,0.02,0.0732,148.88642379700573,181.25303766592003,266.939870251598,140.46309242694588,145.1536322555051,135.86052871597934,307.2883019448408,2.813478331279204,128.0
12.77,1.399,0.0196,1.399,0.0196,0.0732,148.7505635934315,181.08764263548184,267.1774219141405,140.11122913471996,143.97758294689268,135.70439001973665,306.5479334802104,2.807778016632666,128.0
12.78,1.349,0.0188,1.349,0.0188,0.0734,147.44232919333882,179.4950094527603,263.5486226786285,138.5571090627144,141.97917260473216,134.55821664622613,304.8699856060464,2.824111032727864,128.0
12.79,1.315,0.0181,1.315,0.0181,0.0755,146.45943785019938,178.2984460785036,261.0676981957863,137.31698049257398,140.12011396341947,133.6720056888121,303.37254051502947,2.833647580408276,128.0
12.8,1.269,0.0181,1.269,0.0181,0.0767,145.63119630732422,177.29015202630777,257.6165727610336,136.5855860669233,140.43637856264235,133.01725762189193,303.35259083776697,2.8588399467887307,128.0
12.81,1.13,0.0175,1.13,0.0175,0.0769,142.52611919160609,173.51005814630307,246.60282066405787,133.61940371758496,139.72122342484093,130.47639083319666,301.8265308600638,2.93382039086112,128.0
12.82,1.057,0.0165,1.057,0.0165,0.0777,140.40443957622304,170.9271438319237,240.5038279297809,131.2141909797285,137.20351039249712,128.62596900731683,299.437710451618,2.969030705117602,128.0
12.83,0.988,0.0145,0.988,0.0145,0.0783,137.67446175880332,167.6036925759345,234.49543993964855,127.58531239424308,131.14156405771408,126.05015315305693,294.3609129143707,2.9902960074280727,128.0
12.84,0.869,0.0141,0.869,0.0141,0.0779,134.5632664714175,163.8161504869431,223.4594390947907,124.56643715874442,130.95826037125696,123.48179493300306,293.0717363685668,3.080054923157633,128.0
12.85,0.846,0.0142,0.846,0.0142,0.0783,134.0615895660612,163.20541338477017,221.2443883438621,124.15326780457484,131.5811630991993,123.10456485705828,293.34066498379764,3.1022522410888267,128.0
12.86,0.827,0.0132,0.827,0.0132,0.079,132.97706126924942,161.88511806691233,219.39634965607985,122.46932388063452,128.13883340643002,121.98747498231428,290.5774259465846,3.104069097424744,128.0
12.87,0.827,0.0123,0.827,0.0123,0.0804,132.4225552785923,161.2100672956776,219.4397092523074,121.3096299878064,124.73412240779165,121.30077529540456,287.9786775598421,3.0891300496889995,128.0
12.88,0.83,0.0121,0.83,0.0121,0.0852,132.41520183305445,161.2011152750228,219.8453904554468,121.13288048329832,123.9210864607513,121.22518734748904,287.4297682883336,3.082423239913047,128.0
