File Name,File Key,d,End Depth,Measured Vs,Subset_Region,Subset_Geology,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
SCPT,196093,20.5,21,272,1,1,4.52575804,0.096877996,239.2605804,291.2737501,438.5375787,205.6430294,245.8627608,209.9873228,430.3259952,2.664964813
SCPT,196093,21,21.5,268,1,1,5.129449251,0.09428376,244.5259456,297.6837598,460.9894377,209.0157948,241.3549786,214.743911,431.8018454,2.5776652
SCPT,196093,21.5,22,262,1,1,5.159297607,0.105767962,249.1145017,303.2698282,463.077791,212.2767057,252.6009625,218.3913926,440.9085037,2.615859317
SCPT,196093,22,22.5,274,1,1,4.688475614,0.103541973,246.5144179,300.1045087,447.5423628,208.0109506,250.3959339,216.3859786,441.9142581,2.686498649
SCPT,196093,22.5,23,275,1,1,4.985950986,0.100411792,249.5534888,303.8042473,459.176295,208.9708909,245.7665037,219.1056258,442.8381576,2.643356951
SCPT,196093,23,23.5,282,1,1,6.050655541,0.1112455,260.5560488,317.1986681,495.1103659,218.9852732,254.9123021,228.5999361,451.8986781,2.543175276
SCPT,196093,23.5,24,278,1,1,4.673352352,0.11121435,252.7434821,307.6877173,449.902512,208.7723262,255.178416,221.555489,453.4544255,2.740361735
SCPT,196093,24,24.5,281,1,1,4.312406036,0.108630031,250.0774848,304.4421554,437.3471102,205.6371941,253.6828343,219.8488122,454.1900705,2.795634645
SCPT,196093,24.5,25,286,1,1,4.333012107,0.116864038,253.3116361,308.3793831,439.2018892,207.8958008,261.3561248,222.5976335,460.9151405,2.820364856
SCPT,196093,25,25.5,286,1,1,4.478745902,0.121462045,256.8280592,312.660246,445.4897569,209.9984564,264.80875,225.6294052,465.6977762,2.816207828
SCPT,196093,25.5,26,290,1,1,4.779335544,0.116291344,259.9455969,316.4555092,457.580576,210.3478275,257.8053722,228.1696666,465.598757,2.767083584
SCPT,196093,26,26.5,294,1,1,3.713969991,0.118444156,250.6813224,305.177262,417.1084571,203.7110646,264.9704288,221.5487513,468.1127343,2.952181058
SCPT,196093,26.5,27,314,1,1,3.673471298,0.123889754,252.4606032,307.343343,416.5455061,204.8325906,270.2279386,223.1939838,473.0714098,2.97839051
SCPT,196093,27,27.5,313,1,1,4.486686304,0.12340401,262.6260785,319.7187042,450.0502689,209.9129053,264.0564734,230.8253456,475.7544216,2.847705454
SCPT,196093,27.5,28,322,1,1,5.392423564,0.131211622,272.7773724,332.0768012,483.1940504,218.1891958,268.9103938,239.4363821,482.4314444,2.737647943
SCPT,165739,0,1,268.2,8,1,4.294922178,0.044209503,112.0124598,136.3629946,293.4732459,99.98111083,109.3545707,67.39909544,147.5354832,2.002060234
SCPT,165739,1,2,268.2,8,1,19.81031497,0.122100812,170.8950968,208.0462048,591.2937913,187.7973736,207.7254061,126.7615959,229.3472707,1.398220047
SCPT,165739,2,3,208.7,8,1,1.887473762,0.017225226,113.6059713,138.3029216,254.6014668,115.2967706,111.7147256,88.86157654,199.5341147,2.294244273
SCPT,165739,3,4,163.4,8,1,2.21247566,0.012039231,117.9124637,143.545608,278.4087707,118.6549748,101.8303857,97.01390622,207.8283278,2.142074236
SCPT,165739,4,5,173.5,8,1,3.124523698,0.013455606,128.5864712,156.5400519,325.75082,132.3906859,109.5525379,110.4014144,225.3677563,1.959598202
SCPT,165739,5,6,190.1,8,1,6.067267707,0.031690151,156.1133566,190.0510428,428.5321391,166.7776209,150.6175937,137.9397943,266.3998093,1.767789592
SCPT,165739,6,7,197,8,1,7.490150209,0.042687902,170.9223686,208.0794053,472.275895,182.2838358,169.7733373,152.6993937,289.3639528,1.74180795
SCPT,165739,7,8,174.4,8,1,7.764269121,0.045947963,178.1515122,216.8801018,485.8059939,188.2030717,176.4973369,160.7153131,303.0237988,1.759303163
SCPT,165739,8,9,182,8,1,1.049778496,0.01416949,123.8250892,150.7435868,231.7810009,128.8157221,133.7304303,113.150358,264.48848,2.724035035
SCPT,165739,9,10,130.1,8,1,0.649218589,0.009624696,115.5637747,140.6863344,200.4128238,115.881333,118.4683735,105.4656423,257.7906537,2.970210791
SCPT,165739,10,11,140.5,8,1,1.049185581,0.019290726,133.9974467,163.1273264,240.0266065,136.023132,149.4708344,123.1095963,290.4533199,2.840640508
SCPT,165739,11,12,166.7,8,1,1.354260031,0.020687801,144.2517979,175.6108844,268.1832837,142.0032209,149.1100021,131.7560647,300.5047353,2.710034791
SCPT,165739,12,13,193.6,8,1,1.655725897,0.02375381,153.7927566,187.2259646,291.0116516,148.5402361,154.626577,140.4101381,312.9468135,2.64476869
SCPT,165739,13,14,189.4,8,1,1.083349483,0.009505037,138.0693417,168.084416,251.9337768,123.7625487,112.3236313,125.0705609,282.3967111,2.76210112
SCPT,165739,14,15,154.7,8,1,0.938271453,0.006915608,135.4083516,164.8449497,242.2162573,116.6807307,101.4370879,121.7121025,275.6127788,2.822308821
SCPT,165739,15,16,145.9,8,1,1.369396144,0.017305861,155.0808923,188.7941298,277.3664464,138.5762011,140.1877814,141.2863979,316.6901725,2.804072734
SCPT,165739,16,17,170.1,8,1,2.310572533,0.048474711,183.9039566,223.8830776,336.3124718,172.0131404,202.2975405,168.8482884,369.2679092,2.712901217
SCPT,165739,17,18,267.3,8,1,1.698071969,0.041835146,176.5164201,214.8895549,304.3243554,160.8277851,191.6683865,162.1933584,366.8631297,2.900799741
SCPT,165739,18,19,187.2,8,1,1.403136161,0.041872094,173.9585494,211.7756254,285.6986468,156.2750507,193.9101291,160.2678245,371.5778892,3.062616743
SCPT,165739,19,20,177.9,8,1,1.376167048,0.034786089,173.7884216,211.5685132,285.1515885,150.9841169,178.4592852,159.701339,367.5421768,3.06216047
SCPT,165739,20,21,208.3,8,1,1.342400898,0.027412998,172.9060836,210.4943626,284.9701646,145.0020711,160.995245,158.2010648,360.8082485,3.043701734
SCPT,165739,21,22,201.5,8,1,1.511400913,0.028552844,179.074948,218.0042845,299.227151,148.162909,161.4808464,163.6237408,367.4455982,2.989278408
SCPT,165739,22,23,183.8,8,1,1.799204421,0.024034911,184.1561433,224.1900875,320.1272117,148.4459309,149.5588276,167.5055923,363.9364783,2.852178849
SCPT,165739,23,24,224.4,8,1,1.385072263,0.030983682,182.4359669,222.0959597,292.8414474,147.3178117,167.0876491,166.7538831,379.5792292,3.119799344
SCPT,165739,24,25,193.8,8,1,1.833163363,0.028990242,192.1354845,233.9040681,327.3195221,152.4444468,158.9524235,174.679057,381.0913978,2.907754045
