Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
16.62,11.3512,0.1066,0.1408,252.24358455346575,307.0791464129149,609.0792786837168,243.32244808327445,256.1992226560676,227.18680821180635,414.75836049535405,1.9560567512630995,191.0
16.64,11.25,0.1057,0.1415,251.84423449543888,306.59298112488216,607.0883306512357,242.69880435499695,255.312699616806,226.810227234176,414.4000726546616,1.9598676910594184,191.0
16.66,11.2206,0.1047,0.142,251.5509617890214,306.23595348228696,606.5614186688525,242.2597127979231,254.22685813475516,226.6216318003036,414.00607824996086,1.9592374922277116,191.0
16.68,11.1975,0.1044,0.1415,251.4874761800696,306.1586666539977,606.1542963060278,242.09098151828064,253.91142519291483,226.5759969065357,413.9709975361684,1.9601311933922303,191.0
16.7,11.162,0.1043,0.1436,251.46425189958907,306.13039361689107,605.5133690675337,241.9589010840078,253.8318885777079,226.52985667264187,414.0352081675175,1.962229260138309,191.0
16.72,11.107,0.1039,0.143,251.3052950608576,305.93688094365274,604.444435573975,241.65258258734164,253.441926974936,226.37190860849503,413.9386412822332,1.9647456446002736,191.0
16.74,10.9994,0.103,0.1421,250.88158843609,305.4210641830661,602.2763782122852,240.9958864391745,252.5540959067635,225.96671087771705,413.56602622230514,1.969063965106659,191.0
16.76,10.8589,0.1015,0.1434,250.1977514617178,304.58856699687385,599.4242096400314,240.01240805715668,251.02582881326816,225.34910654883785,412.8634921698077,1.9737182491778973,191.0
16.78,10.7446,0.0994,0.1426,249.36546376883925,303.57534719684776,597.082879472535,238.8796702422277,248.7781073171468,224.6903667604488,411.83491053814026,1.9752097868120504,191.0
16.8,10.6518,0.0982,0.1429,248.86040286819423,302.9604904482365,595.1914829432671,238.1436848001696,247.5134641703003,224.25801272754973,411.282686161317,1.9778701513467736,191.0
16.82,10.514,0.097,0.1446,248.25638354686143,302.22516257878783,592.3399504455892,237.25666098146365,246.2944365373335,223.68357266055895,410.7098699502512,1.9833212828699156,191.0
16.84,10.3543,0.0957,0.1445,247.56280738739144,301.38080899334614,588.9750563871437,236.2485807428282,244.9804521744016,223.0149622524941,410.066931904791,1.9900030507549773,191.0
16.86,10.2246,0.0952,0.1464,247.1900823480968,300.92705677159614,586.2486312152623,235.63833368344612,244.54758309172848,222.5871892149437,409.87261898643567,1.9971409106036464,191.0
16.88,10.2774,0.0954,0.1482,247.44844298570675,301.2415827652082,587.481720323711,235.9054060111665,244.70648922948837,222.86458779276893,410.1230780189998,1.994616187769191,191.0
16.9,10.4563,0.0958,0.1488,248.04305490835927,301.96545814930704,591.418847321709,236.6655688536636,244.9495394842332,223.5702956817407,410.5215928401443,1.984728549519139,191.0
16.92,10.6877,0.0957,0.1478,248.5684015337164,302.6050105627852,596.416382471809,237.39737504428908,244.5635087221989,224.33040802124884,410.6552142048672,1.9703939100525945,191.0
16.94,10.8996,0.0952,0.147,248.90134221951035,303.0103296585344,600.9435710306428,237.9015455590037,243.74840209938964,224.94157790005588,410.5579711593837,1.9563868396373916,191.0
16.96,11.0932,0.0928,0.1455,248.5307697214542,302.5591979217703,605.0337853914061,237.60311427165732,240.77454028587533,225.10900903544675,409.372959366673,1.9381748336305895,191.0
16.98,11.248,0.0903,0.1317,248.0056758762377,301.91995324063726,608.1795260780593,237.1030576805962,237.72044053036004,225.1217350454177,408.0856794411429,1.9222953274110788,191.0
17.0,11.3468,0.0879,0.125,247.38998278894567,301.17041383002083,610.2183475950118,236.45714318359083,234.8203632071206,224.97562623850365,406.8065617527046,1.9097493153275007,200.0
17.02,11.2969,0.0856,0.1295,246.5397128742069,300.1353026294693,609.3062346471667,235.39270267398496,232.1561181067744,224.41198070692695,405.5141481834314,1.90572976268409,200.0
17.04,11.3023,0.085,0.1336,246.4034540884468,299.9694223685439,609.5231032791224,235.18345961670929,231.43673966517252,224.3696774482548,405.26533444113966,1.9037535612736665,200.0
